"","x"
"680","Fuzzy signaling game of deception between ant-inspired deceptive robots with interactive learning"
"681","The effect of scenario-based interactive videos on English learning"
"682","Interactive Multimedia Development in The Learning Process of Indonesian Culture Introduction Theme for 5-6 Year Old Children"
"683","Interactive Q-Learning Approach for Pick-and-Place Optimization of the Die Attach Process in the Semiconductor Industry"
"684","Enhancing critical thinking through the science learning on using interactive problem based module"
"685","Enhancing Student Learning and Engagement With Interactive Fiction Using Twine, by Chris Klimas."
"686","Peax Interactive Visual Pattern Search in Sequential Data Using Unsupervised Deep Representation Learning"
"687","USE OF NEARPOD AS INTERACTIVE LEARNING METHOD"
"688","Learning to Engage with Interactive Systems: A field Study"
"689","INTERACTIVE TEACHING TECHNOLOGIES AS A WAY TO BOOST STUDENTS’ MOTIVATION THROUGH THE LEARNING"
"690","Identifying epistemic emotions from activity analytics in interactive digital learning environments"
"691","Learning model based on discovery learning equipped with interactive multimedia teaching materials assisted by games to improve critical thinking skills of high school students"
"692","Initiating curriculum mapping on the web-based, interactive learning opportunities, objectives and outcome platform (LOOOP)"
"693","Evaluation of a Prototype Interactive Working Memory Application for Children with Learning Disabilities"
"694","Work in Progress: Use of Interactive Simulations in the Active Learning Model in Physics Education for Engineering Students at a College in Oman"
"695","An Interactive Multi-Task Learning Network for End-to-End Aspect-Based
  Sentiment Analysis"
"696","The effects of transient information and element interactivity on learning from instructional animations"
"697","Creating different learning experiences: assessment of usability factors in an interactive three-dimensional holographic projection system for experiential learning"
"698","Open Problem: Is Margin Sufficient for Non-Interactive Private Distributed Learning?"
"699","Using Interactive Story Maps Enriched by Direct Knowledge Queries for the Development of E-Learning Modules on Climate Change"
"700","Use Of Interactive Learning Media Based On Macromedia Flash On Student Learning Outcomes"
"701","Interactive Learning (iLEARN) Tool"
"702","The Development of Worksheet Based on Guided Discovery Learning Method Helped by PhET Simulations Interactive Media in Newton's Laws of Motion to Improve Learning Outcomes and Interest of Vocational Education 10th Grade Students"
"703","Enhancing teaching and learning of fluid mechanics with interactive computational modelling"
"704","A Novel ICT Tool For Interactive Learning For Electronics Engineering Based On Augmented Reality"
"705","The effects of interactive teaching strategies on speaking skills of students learning Turkish as a second language"
"706","Cancer Biology and You: An Interactive Learning Event for Native American High School Students to Increase Their Understanding of Cancer Causes, Prevention, and Treatment, and to Foster an Interest in Cancer-Related Careers"
"707","Interactive control capability, effective organizational learning and firm perfor-mance: An empirical study of milling and metal industry in Tegal"
"708","ClusterNet: unsupervised generic feature learning for fast interactive satellite image segmentation"
"709","Interactive Multimedia Based on Multisensory as a Model of Inclusive Education for Student with Learning Difficulties"
"710","Interactive Multimedia Development in Learning of Film Review Text for 8th Grade Students in Senior High School (SMP) 1 Tanjungmorawa"
"711","The development of interactive multimedia-based instructional media for elementary school in learning social sciences"
"712","3D dissection tools in Anatomage supported interactive human anatomy teaching and learning"
"713","Design and Evaluation of Interactive Learning Story and User Interface Prototyping for Mobile Responsive Learning Application"
"714","Course design and teaching practice in STEAM education at distance via an interactive e-learning platform"
"715","Powerpoint and Wondershare Quiz Creator Interactive Multimedia Development to Improve Student Learning Motivation"
"716","New Learning Scenarios with Chatbots – Conversational Learning with Jix: from Digital Tutors to Serious Interactive Fiction Games"
"717","Medical Studentâ??s Feedback towards Problem Based Learning and Interactive Lectures as a Teaching and Learning Method in an Outcome-Based Curriculum"
"718","Interacting roles of lateral and medial Orbitofrontal cortex in decision-making and learning : A system-level computational model"
"719","Augmented Interactive Wall as a Technology-based Art Learning Media"
"720","Development Of An Interactive Learning Resource In Engineering Mechanics"
"721","Development of The Android-Based Interactive Physics Mobile Learning Media (IPMLM) to Improve Higher Order Thinking Skills (HOTS) of Senior High School Students"
"722","LECTURES IN MODERN INSTITUTIONS OF HIGHER LEARNING: INTERACTIVE APPROACH"
"723","Academic Half-Days: Facilitated Small Groups to Promote Interactive Learning"
"724","Interactive Learning Modules With Visual Feedback Improve Resident Learning in Colposcopy"
"725","Impact of Infusing Interactive and Collaborative Learning in Teaching Introductory Programming in a Dynamic Class"
"726","Development of Interactive Learning Media Based on Google Application for Distance Learning in Universitas Pendidikan Indonesia"
"727","Extending Tangible Interactive Interfaces for Education: A System for Learning Arabic Braille using an Interactive Braille Keypad"
"728","Inferring Passengers’ Interactive Choices on Public Transits via MA-AL: Multi-Agent Apprenticeship Learning"
"729","Influence Of The Use Of Interactive Learning Media On Students’ Higher Order Thinking Skills"
"730","Testing Of The Validity of Interactive Learning Module on Creative and Entrepreneurs Learning Products"
"731","Effects of the Online Interactive Learning Media on Student's Achievement and Interest in Physics"
"732","INTERACTIVE LEARNING METHODS: THE THEORY AND PRACTICE OF IMPLEMENTATION THE ROLE-PLAYING GAMES INTO EDUCATIONAL PROCESS OF MILITARY EDUCATIONAL INSTITUTIONS"
"733","Interactive Trimap Generation for Digital Matting Based on Single-Sample Learning"
"734","The Role of Mental and Motor Processes in Conceiving, Developing and Validating 3D Interactive Human Anatomy Learning Tools"
"735","Learning Beyond the Laboratory: A Web Application Framework for Development of Interactive Postlaboratory Exercises"
"736","Modeling Interactive Behaviors While Learning With Digitized Objects in Virtual Reality Environments"
"737","An Empirical Study on the Influence of Atypical Visitors’ Interactive Learning on Exhibition Brand Equity"
"738","A meta-analysis of the effects of using PhET interactive simulations on student’s worksheets toward senior high school students learning result of physics"
"739","Transforming the space-time of learning through interactive whiteboards: the case of a knowledge creation collaborative task."
"740","Learning Reading Skills Independently Using Interactive Multimedia"
"741","Improving Human Performance in Dynamic Tasks with Debriefing-Based Interactive Learning Environments: An Empirical Investigation"
"742","Improving Students' Creative Thinking Skills Using Problem-Based Learning (PBL) Models Assisted by Interactive Multimedia"
"743","Multi-Attribute Bayesian Optimization With Interactive Preference Learning"
"744","The Virtual Memory Palace as an Interactive Mnemonic Learning Platform"
"745","Interactive approaches to learning about academic integrity: the role of fun and games"
"746","Analysis of student’s learning achievement using PhET interactive simulation and laboratory kit of gas kinetic theory"
"747","Development Of Interactive Physics Learning Media Macromedia Flash 8 Based On Straight Motion Material"
"748","Enhancing Learning Systems using Interactive Intelligent components"
"749","Sign Language Interactive Learning - Measuring the User Engagement"
"750","Teacher expectation towards interactive multimedia integrated with STEM in learning physics: Preliminary study on geometry optic learning material"
"751","The combination of interactive conceptual learning models and multimedia interactive to minimize misconceptions on the science content"
"752","Developing an Interactive Tabletop Mediated Activity to Induce Collaboration by Implementing Design Considerations Based on Cooperative Learning Principles"
"753","Different Ways of Interacting with Videos During Learning in Secondary Physics Lessons"
"754","Patient Record Summarization Through Joint Phenotype Learning and Interactive Visualization"
"755","How do task characteristics affect learning and performance? The roles of simultaneous, interactive, and continuous tasks"
"756","A Natural User Interface implementation for an Interactive Learning Environment"
"757","“Schools of Education as Agents of Change: Coping with Diversity in India and Germany Through a Collaborative, Interactive and Blended-Learning Environment – a Pre-test Study”"
"758","The e-Facilitator as a Key Player for Interactive Dissemination of STEAM Resources for e-Learning via Webinar"
"759","Interactive task learning via embodied corrective feedback"
"760","DEVELOPING AN INTERACTIVE LEARNING MODEL USING VISUAL BASIC APPLICATIONS WITH ETHNOMATHEMATICAL CONTENTS TO IMPROVE PRIMARY SCHOOL STUDENTS’ MATHEMATICAL REASONING"
"761","PROMOTING INTERACTIVITY IN ONLINE LEARNING – TOWARDS THE ACHIEVEMENT OF HIGH-QUALITY ONLINE LEARNING OUTCOMES"
"762","Interactive Learning Media for Hearing-Impaired Children using Indonesian Sign Language (SIBI) — Simple Sentence Arrangement"
"763","Development of Learning Flow for KPK Based on Interactive Multimedia Assisted RME Based on Students PGSD UNRI"
"764","Interactive Animation and Affective Teaching and Learning in Programming Courses"
"765","Development of Interactive Learning Media Based on HOTS Material Temperature and Heat"
"766","The effects of interactive E-learning on delirium recognition ability and delirium-related strain of care among critical care nurses"
"767","An interactive role learning and discovery model for multi-department RBAC building based on attribute exploration"
"768","HDD-Net: Hybrid Detector Descriptor with Mutual Interactive Learning"
"769","Multi-Classifier Interactive Learning for Ambiguous Speech Emotion
  Recognition"
"770","Bridging the gap: Improving CASPer test confidence and competency for underrepresented minorities in medicine through interactive peer-assisted learning"
"771","Algorithm Visualization Environments: Degree of interactivity as an influence on student-learning"
"772","Design of a Smart Music Learning Device that can interact with each other using a transparent touch panel"
"773","Interactive Geovisualizations (iGEO): A New Approach To Teaching And Learning Physical Geography"
"774","Development of Interactive Multimedia based on Adobe Flash in Thematic Learning in Elementary Schools"
"775","Learning Generalizable Visual Representations via Interactive Gameplay"
"776","The Varied Dimensions of Interactivity Exploring Student Depth of Learning"
"777","Development of Interactive Learning Multimedia Reading Early Children's Beginning"
"778","Engaging the Experts to Embrace the Future: An Interactive Professional Learning Experience"
"779","Diabetic foot care course: a quasi-experimental study on E-learning versus interactive workshop"
"780","Interactive learning in the classroom: A mobile augmented reality assistance application for learning"
"781","Study Protocol of a Distance Learning Intervention to Support Social Emotional Learning and Identity Development for Adolescents Using Interactive Mobile Technology"
"782","Interaction between Feedback Types of Interactive Videos Used in Flipped Classroom and Learning Styles of Talented Students in Developing Personal Knowledge Management Skills and Achievement"
"783","FORMATION OF INTERACTIVE CONTENT FOR DISTANCE LEARNING OF STUDENTS AT THE HIGHER SCHOOL"
"784","Creating an educational tool that uses interactive representations to provide a new approach to mathematics learning"
"785","Collaborative Partnership Approach to Improve Learning Through Interactive and Innovative Blended Learning: A Case Study of the National E-Learning Resource Centre (NELRC) at the University of Kelaniya, Sri Lanka"
"786","Indulging interactivity: a learning management system as a facilitative boundary object"
"787","A computational model of learning to count in a multimodal, interactive environment."
"788","Integration of modern macromedia flash technology with Indonesian traditional game for interactive physics learning"
"789","Development of Interactive Multimedia on Learning Descriptive Text for French Learners in North Sumatra"
"790","Evaluation of innovative digital microscopy and interactive team-based learning approaches in histology teaching"
"791","Using Critical Analysis of Scientific Literature To Maintain an Interactive Learning Environment for In-Person and Online Course Modalities"
"792","Interactive Metabolism, a simple and robust active learning tool that improves the biochemistry knowledge of undergraduate students"
"793","CIFDM: Continual and Interactive Feature Distillation for Multi-Label Stream Learning"
"794","The Development and Testing of Interactive Multimedia Learning Materials for Teaching and Learning of Tumbuk Kalang Music Ensemble in Formal Educational Institutions"
"795","Interactive imitation learning for spacecraft path-planning in binary asteroid systems"
"796","Development and Application of an Interactive Neuropathology iBook as a Complementary Learning Tool for Veterinary Medicine Students"
"797","Delivery Ghost: Effects of Language Immersion and Interactivity in a Language Learning Game"
"798","In knowledge we trust: Learning-by-interacting and the productivity of inventors"
"799","A learning interactive genetic algorithm based on edge selection encoding for assembly job shop scheduling problem"
"800","The functionality of interactive digital platforms in online teaching and learning"
"801","Foreign Language Web-Based Learning by Means of Audiovisual Interactive Activities"
"802","Students' perceptions and experiences in a health promotion course using interactive learning"
"803","Teaching Outbreak Investigations with an Interactive Blended Learning Approach"
"804","Bayesian preference learning for interactive multi-objective optimisation"
"805","Application of Interactive Multimedia-Based Mathematics Learning Media to Increase Students' Interest in Learning"
"806","Interactive Tool in Digital Learning Ecosystem for Adaptive Online Learning Performance"
"807","The impact of touchscreen interactivity on U.S. toddlers’ selective attention and learning from digital media"
"808","APPLICATION OF ACTIVE AND INTERACTIVE LEARNING METHODS USED TO TEACH THE TOPIC “BINARY MULTIPLIERS” IMPLEMENTED WITH DIFFERENT COMPUTER-BASED TOOLS"
"809","Students’ opinions on the need for interactive multimedia development for entrepreneurship learning"
"810","A Federated Interactive Learning IoT-Based Health Monitoring Platform"
"811","Learning to Read Interacts with Children’s Spoken Language Fluency"
"812","Interactive Learning via Digital Storytelling in Teaching and Learning"
"813","Interactive Video Simulation for Remote Healthcare Learning"
"814","Belonging in STEM: an interactive, iterative approach to create and maintain a diverse learning community"
"815","Inductive Link Prediction with Interactive Structure Learning on Attributed Graph"
"816","The Effectiveness of Problem Based Learning-Based Interactive Multimedia for Elementary School Students"
"817","Impact of an interactive, clinical decision-making workshop on student learning of antimicrobial stewardship principles"
"818","The Effect of Interactive Computer Animation and Simulation on Students’ Achievement and Motivation in Learning Electrochemistry"
"819","The Development of Interactive Learning Media on Android Platform Assisted By Google Sites"
"820","The Bioinformatics Virtual Coordination Network: An Open-Source and Interactive Learning Environment"
"821","An interactive e-learning module to promote bio-psycho-social management of low back pain in healthcare professionals: a pilot study"
"822","Learning Interactively to Resolve Ambiguity in Reference Frame Selection"
"823","A close look into the storytelling process: The procedural nature of interactive digital narratives as learning opportunity"
"824","Active Learning for Interactive Relation Extraction in a French Newspaper’s Articles"
"825","Autonomous Learning Interactive Features for Hyperspectral Remotely Sensed Data"
"826","Sparse learning strategy and key feature selection in interactive learning environment"
"827","Learning Interactive Driving Policies via Data-driven Simulation"
"828","Interactive Task and Concept Learning from Natural Language Instructions and GUI Demonstrations"
"829","Nursing students’ insights of learning evidence‐based practice skills using interactive online technology: Scoping review"
"830","Investigation of Students’ Satisfaction about H5P Interactive Video on MOODLE for Online Learning"
"831","Effects of contextual interactive healthcare training on caregivers of patients with suspected <scp>COVID</scp> ‐19 infection: Anxiety, learning achievements, perceived support and self‐efficacies during quarantine"
"832","Theoretical Models of Integration of Interactive Learning Technologies into Teaching: A Systematic Literature Review"
"833","DFL-PiDA: Prediction of Piwi-interacting RNA-Disease Associations based on Deep Feature Learning"
"834","Determinants of innovation and interactive learning in informal manufacturing enterprises in India"
"835","Model-Based Actor−Critic Learning of Robotic Impedance Control in Complex Interactive Environment"
"836","Cooperative and Interactive Learning to estimate human behaviours for energy applications"
"837","Interactive Virtual Reality Game for Online Learning of Science Subject in Primary Schools"
"838","Construction of “Interactive” English Translation Teaching Model Based on Data-Driven Learning"
"839","Interactive Learning and Governance Transformation for Securing Blue Justice for Small-Scale Fisheries"
"840","Real-life Evaluation of an Interactive Versus Noninteractive e-Learning Module on Chronic Obstructive Pulmonary Disease for Medical Licentiate Students in Zambia: Web-Based, Mixed Methods Randomized Controlled Trial"
"841","Deep <scp>SED‐Net</scp> with interactive learning for multiple testicular cell types segmentation and cell composition analysis in mouse seminiferous tubules"
"842","Application Technology on Collaborative Training of Interactive Learning Activities and Tendency Preference Diversion"
"843","Class DojoLMS in the Interactive Learning of PAUD Educators in the Disruption Era 4.0"
"844","Democratizing Industrial Collaborative Robot Technology through Interactive Workshops in Learning Factories"
"845","Interactive Visual Pattern Search on Graph Data via Graph Representation Learning"
"846","Team-based learning versus interactive lecture in achieving learning outcomes and improving clinical reasoning skills: a randomized crossover study"
"847","Interactive Task Learning"
"848","Research on the cultivation of students' autonomous learning ability based on MOOC-based network interactive teaching"
"849","Use of interactive tools for teaching and learning practices in higher education institutions"
"850","Metric Learning Based Interactive Modulation for Real-World Super-Resolution"
"851","Does the Impact of Technology Sustain Students’ Satisfaction, Academic and Functional Performance: An Analysis via Interactive and Self-Regulated Learning?"
"852","Interactive methods in blended learning of the fundamentals of UI/UX design by pre-service specialists"
"853","Revealing deep interaction patterns of team learning processes through video-based interactive analysis"
"854","Digital Monitoring of Students’ Soft Skills Development as an Interactive Method of Foreign Language Learning"
"855","iPiDA-LTR: Identifying piwi-interacting RNA-disease associations based on Learning to Rank"
"856","Implementation of Asynchronous Interactive Learning Activities in a Blended Teaching Environment and the Evaluation of its Effectiveness"
"857","Prototype of Interactive Multimedia Learning About Natural Resources and Energy to Elementary School Students"
"858","Museums and Interactive Virtual Learning"
"859","Development of Interactive Web Based Multimedia for Online Learning in Elementary School"
"860","Interactive Learning in a Multidisciplinary First-Year Course"
"861","InTEL: Interactive Toolkit for Engineering Learning Contextualizing Statics Problems to Expand and Retain Women and URM Engineers"
"862","Interactive Learning Using A Spiral Approach In A Large Required First Year Mechanical Engineering Class"
"863","Designwebs: Toward The Creation Of An Interactive Navigational Tool To Assist And Support Engineering Design Learning"
"864","Interactive Simulation Based E Learning Tools For Engineering Education"
"865","Coach: A New System For Interactive Learning"
"866","Multi Media Interactive Self Directed Cad Applications Learning Modules For The Construction Management Students."
"867","Dancing in shackles: interactive learning of industrial design firms in Beijing"
"868","Use of Kahoot! to promote interactivity and social learning during multiple-choice questions"
"869","Design of the Icon-Based Interactive Video for English Vocabulary Learning"
"870","Interactive learning through social media for large size classes in the clothing and textile curriculum"
"871","Comparative Effectiveness of Interactive Multimedia, Simulation Games, and Blended Learning on Science Performance of Learners With Special Needs"
"872","Children’s attention in a word learning interactive context with educators and vocabulary growth"
"873","Online Learning Development of Interactive Multimedia based Geographic Information Systems"
"874","Tangible Objects and Mobile Technology: Interactive Learning Environments for Students with Learning Disabilities"
"875","Interactive Multimedia Learning Skills For Primary School Teacher Education Study Program"
"876","Increasing Creativity and Community Responsibility through the Interactive Learning at the Schools of Architecture in Jordan"
"877","A Need Analysis of Developing Interactive Learning Multimedia on Protista and Fungi Materials for Grade X Senior High School"
"878","Development of Interactive Learning Media on Material Writing Short Story Texts Based on Experience"
"879","Examining the Efficacy of Online Self-Paced Interactive Video-Recordings in Nursing Skill Competency Learning: Seeking Preliminary Evidence Through an Action Research"
"880","Reconstruction of collaborative problem solving based learning in thermodynamics with the aid of interactive simulation and derivative games"
"881","Developing Interactive Learning Multimedia on Basic Electrical Measurement Course"
"882","Exquisitor: Interactive Learning at Large."
"883","Emotional Experience of Students Interacting with a System for Learning Programming."
"884","Sets vision of interactive multimedia on the problem based learning in science learning"
"885","Interactive SQL Learning Tool with Automated Grading using MySQL Sandbox"
"886","Developing Interactive Bible Learning Model Based on Mobile for Children"
"887","Interactive Learning in U.S.–Soviet Arms Control"
"888","VRKitchen: an Interactive 3D Environment for Learning Real Life Cooking Tasks"
"889","Effect of the interactive Groups In the Learning of the Reading by Means of Familiar Collaboration"
"890","Undergraduate Student’s Acceptance of a Situational and Interactive Hotel English Learning APP: An Empirical Study Based on the Extension of UTAUT"
"891","Exploring the Adoption of Virtual and Augmented Reality in Enhancing Interactive Learning in Tanzania"
"892","DEVELOPMENT OF HYBRID LABORATORIES OF INDUSTRIAL SYSTEMS FOR INTERACTIVE LEARNING OF AUTOMATION AND CONTROL"
"893","How to Design an Interactive System for Data Science: Learning from a Literature Review"
"894","Visualization and clustering of learner pathways in an interactive online learning environment."
"895","The Development of Interactive Classroom Activities to Teach Economic Freedom to Students of Various Learning Styles"
"896","The effect of interactive demonstration method on heat energy learning"
"897","Flipped learning and interactive methods with smartphones in modern physics at secondary schools"
"898","The Importance of ""Teaching Presence"" and the New Role of the Teacher in Contemporary Learning Environments Focusing on Pedagogical Exploitation of Interactive Videoconferencing"
"899","Towards a taxonomy of interactive continual and multimodal learning for the internet of things"
"900","Educational Data Mining For Student Support in Interactive Learning Environment"
"901","Rethinking enzyme kinetics: Designing and developing a biomolecular interactive tutorial (BIOMINT) learning tool for undergraduate students"
"902","INTERACTIVE LECTURE LEARNING AS A MEANS OF ENHANCING THE LEVEL OF QUALITY OF EDUCATIONAL PROCESS"
"903","The Impact of Using Multimedia Interactive Based for Learning Media on Teacher and Student Communication in Bandung"
"904","Drag The Green Ion An Interactive Online Quantitative Cellular Biology Learning Module"
"905","Game-Based Learning - Developing a Business Game for Interactive Architectural Visualization"
"906","The Influence of Interactive Learning Media Based on Augmented Reality on the Achievement of Art Learning Result"
"907","TEACHING-INTERACTIVE METHOD USED IN THE TEACHING-LEARNING PROCESS"
"908","The Development of (ArtHis) Interactive Module in Teaching and Learning Art History"
"909","Adaptive Multimodal Music Learning via Interactive Haptic Instrument."
"910","Sense of Place Attachment to the Architectural Academic Library: Toward an Interactive Learning Environment"
"911","Development and Implementation of Mobile Platform-Oriented Interactive English Grammar Learning System"
"912","Dermatology Tactile Learning Tool: Development and student evaluation of an interactive 3-dimensional skin lesion model for medical student education"
"913","Impact Sounds Classification for Interactive Applications via Discriminative Dictionary Learning"
"914","The Influence of Interactive and Non-interactive E-Book on the Learning Effectiveness of High and Low Achievement Nursing Students"
"915","Students’ learner-readiness empowers their imaginative-capacity as they interact while e-learning"
"916","Interactive Deep Metric Learning for Healthcare Cohort Discovery"
"917","Towards mapping competencies through learning analytics: real-time competency assessment for career direction through interactive simulation"
"918","Distance Learning and Interactivity"
"919","Learning Transition Statistics in Networks of Interacting Agents"
"920","Interactive e-Learning Tools and Pedagogy for Engaging STEM Education and Skills Development in the Digital Era: Challenges and Opportunities"
"921","Improving Science Learning Outcomes of Elementary Students by Using Interactive Multimedia on Human Order Materials"
"922","Designing Lectora Based Interactive CD Learning Media in Basic Programming Subjects (Case Study of Class X SMKN 2 Padang)"
"923","IMPLEMENTATION AND EVALUATION OF CLASSES INCORPORATING DRAMA APPROACH METHODS FOR INTERACTIVE LEARNING IN A PRIMARY SCHOOL SETTING"
"924","TOWARDS A NEW INTERACTIVE TOOL OF RESOURCES FOR ACTIVE LEARNING IN UNIVERSITY LARGE GROUPS’ LECTURES"
"925","Implementation Mirror Technique 3D Objects for Interactive Learning Media “Circulatory System” Virtual Reality-Based"
"926","Delirium Café: interactive learning to enhance delirium care"
"927","Research on the Interactive Development of Innovation and Entrepreneurship Education and Tourism Specialty Education in the Context of Cultural and Tourism Integration: A Case Study on the Production of Ubiquitous Learning Space in YXHMC"
"928","METHODS OF INTERACTIVE LEARNING IN TEACHING TECHNICAL DISCIPLINES"
"929","Formation the Communicative Tolerance of the Policemen in the National Police of Ukraine through the Interactive Learning Tools"
"930","The development of interactive learning media by manufacturing helical gear using milling machine"
"931","Interactive Software System Focused On Basic Math Learning For The Visually Impaired"
"932","Interactive Learning Material for Control Engineering Education Using Matlab Live Scripts"
"933","The Teaching Material of Drama Appreciation based on Project-based Learning by Interactive Multimedia-assisted"
"934","Preservice Elementary School Teachers’ Need for Interactive Multimedia Based on Augmented Reality in Science Learning"
"935","VALIDATION OF MEDIA INTERACTIVE LEARNING IN VOCATIONAL HIGH SCHOOL"
"936","INTERACTIVE LEARNING MEDIA FOR DYSLEXIC STUDENTS OF ELEMENTARY SCHOOL"
"937","The Effect of List-Liner-Based Interaction Technique in a 3D Interactive Virtual Biological Learning Environment"
"938","THE DEVELOPMENT OF INTERACTIVE LEARNING MEDIA IN COMPUTER AND BASIC NETWORKS SUBJECT ON COMPUTER AND NETWROKS ENGINEERING OF SMKN 2 LUBUK BASUNG"
"939","Learning, Listening, and Reading Based on Child Worksheets Interactive Multimedia in Early Childhood of 5–6 Years"
"940","Scandinavian students’ perspective on learning from digital learning environment: The potential role of interactive quality"
"941","Research on the Influence of Interactive Teaching Method on the Learning Effect of College English"
"942","KIL: Knowledge Interactiveness Learning for Joint Depth Estimation and Semantic Segmentation"
"943","Gender Description on Problem-Solving Skills in Chemistry Learning Using Interactive Multimedia"
"944","Proposal of an Interactive IPTV Platform to Improve the Quality of Service of E-learning Platforms"
"945","The treatment of helicobacter pylori-associated erosive lesions of gastroduodenal zone with the use of interactive learning technologies and rebamipide in young men"
"946","The Feasibility and Effectiveness of Interactive Multimedia using Gerlach and Ely Model in Learning Planning Courses"
"947","“Hijaiyah” interactive learning for pre-school students"
"948","Gamified, interactive, online problem sets for personalised, flexible learning"
"949","Interactive Learning Multimedia in Cirebonese Language to Enhance Students Learning Outcome"
"950","STUDENTS’ PERCEPTIONS OF DYNAMIC AND INTERACTIVE LEARNING RESOURCES FOR ENGINEERING LAB PREPARATION"
"951","Interactivity, Adaptation and Multimodality in Neural Sequence-to-sequence Learning"
"952","Blind Interactive Learning of Modulation Schemes: Multi-Agent Cooperation Without Co-Design"
"953","Aprendizaje inmersivo y desarrollo de las inteligencias múltiples en Educación Infantil a partir de un entorno interactivo con realidad aumentada/ Immersive learning and multiple intelligences development in early childhood education by means of an interactive environment with augmented reality"
"954","An intelligent algorithm with interactive learning mechanism for high‐dimensional optimization problem based on improved animal migration optimization"
"955","Interactive, Team‐Based Learning Environment Enhances Students Learning and Confidence"
"956","THE DEVELOPMENT OF LEARNING MEDIA INTERACTIVE BASED PROBLEM SOLVING IN BANKING SUBJECT AT STUDENTS SENIOR HIGH SCHOOL CLASS X"
"957","Development of Interactive Learning Multimedia to Increase Understanding of Basic Skills Teaching Procedures"
"958","Development of Interactive Learning Media using Autoplay Studio 8 for Hydrocarbon Material of Class XI Senior High School"
"959","Interactive learning activities for education of factory level order-to-delivery process"
"960","Analysis of interactive media development of VIII grade integrated science with simple machine themes on human muscular and skeleton system using connected types integrated 21st century learning"
"961","Preliminary analysis learning media in the form of interactive multimedia based on edupark physics Carocok beach Painan Indonesia with the scientific method"
"962","Neuroanatomy of the spinal pathways: Evaluation of an interactive multimedia e-learning resource"
"963","The Impact of Nearpod Interactive Learning Platform in Quality Accounting Education for Sustainable Development"
"964","Analysis of interactive media integrated natural science with energy themes in the life of using integrated types that integrate of learning for the 21st century"
"965","M-Learning as a New Interactive Technology in Education"
"966","Development of interactive multimedia for learning physics based on traditional games"
"967","SPEAKING CLUB AS AN INTERACTIVE EXTRACURRICULAR ACTIVITY IN LEARNING ENGLISH FOR PROFESSIONAL PURPOSES AT MEDICAL UNIVERSITIES"
"968","Development of mathematics interactive learning media with gamification concept for mentally disabled students"
"969","An Interactive Tutoring System for Learning Language Processing and Compiler Design"
"970","Technology to enable new paradigms of teaching/learning in mathematics: the digital interactive storytelling case"
"971","To solve or to observe? The case of problem‐solving interactivity within child learning games"
"972","Investigation on designing a fun and interactive learning approach for Database Programming subject according to students’ preferences"
"973","VR-Based Interactive Learning in Architectural Education: A Case on Safranbolu Historical Bathhouse"
"974","Interactive Learning Means in Higher Education for Physical Education and Sport"
"975","The development of interactive learning media with lectora inspire in gas kinetic theory subject to improve the result and students’ interest of the eleventh grade students of senior high school"
"976","Interactive Pedagogical Agents for Learning Sequence Diagrams"
"977","Phoneme and Stress Programming Interact During Nonword Repetition Learning"
"978","INTERACTIVE LEARNING IN THE COURSE OF INTERNAL MEDICINE: STEPS IN MAKING DIAGNOSIS"
"979","The Impact of the Interactive Mathematics Program on Student Learning"
"980","Role of Interactive Multimedia to support MOOC for Enhanced E-learning in the Higher Education Sector in Oman"
"981","The Essence of Interactivity and Its Impact on Online Learning Community"
"982","How to Forecast the Students' Learning Outcomes Based on Factors of Interactive Activities in a Blended Learning Course"
"983","Interactive Learning Media Based on Android for Computer Programming Course"
"984","An Interactive Visualization to Enhance Social Learning Practices in MOOC Platforms."
"985","An online, interactive, screen-based simulator for learning basic EEG interpretation"
"986","Learning interaction kernels in stochastic systems of interacting
  particles from multiple trajectories"
"987","Interactive Feature Generation via Learning Adjacency Tensor of Feature Graph."
"988","An Integration of ""Online Interactive Apps"" for Learning Application of Graph Theory to Enhance Creative Problem Solving of Mathematics Students"
"989","Interactive Robot as Classroom Learning Host to Enhance Audience Participation in Digital Learning Theater"
"990","A Digital Reality Theater with the Mechanisms of Real-Time Spoken Language Evaluation and Interactive Switching of Scenario &amp; Virtual Costumes: Effects on Motivation and Learning Performance"
"991","PROJECT GGULIVRR: GENERIC GAME FOR UBIQUITOUS LEARNING IN INTERACTIVE VIRTUAL AND REAL REALITIES"
"992","Interactive Multimedia Development using Ispring Suite 9 Application in Natural Sciences Learning of IX Grade in Junior High School"
"993","Open and Interactive Learning Resources for Algorithmic Problem Solving"
"994","Interactive language learning activities for learners’ communicative ability"
"995","The Moderating Effect of Prior Knowledge on Higher Order Thinking Skills in the Interactive Multimedia Learning Environment"
"996","Learning from Two Types of Class Projects in Interactive Physical Prototyping: Comparison between Technology-driven and Experience-driven Project Results"
"997","Data Programming by Demonstration: A Framework for Interactively Learning Labeling Functions."
"998","Development of Interactive Learning Media for Android-Based Correspondence Subjects Using Articulate Storyline 3"
"999","From interactive teaching to immersive learning: Higher Education 4.0 via 360-degree videos and virtual reality in Malaysia"
"1000","The NautICS Materials workshop: teaching and learning Interactive, Connected, and Smart Materials for Yacht Design."
"1001","Interactive Knowledge-Guided Learning"
"1002","IMPLEMENTATION OF MOBILE-BASED INTERACTIVE LEARNING MEDIA CASE STUDY : CLASS XI HYDROCARBONS MATERIAL"
